Country,export1,exportp1
Aruba,1736.8,0.11
Afghanistan,95736.11,1.62
Angola,18144.39,0.14
Anguila,12871.57,5.45
Albania,45545.07,0.38
Andorra,21077.74,0.68
United Arab Emirates,2085473.55,0.77
Argentina,908420.79,1.39
Armenia,7058.06,0.14
American Samoa,2124.94,1.37
Antarctica,0.52,0
Fr. So. Ant. Tr,17.01,0.03
Antigua and Barbuda,1899.13,0.11
Australia,1300569.32,0.47
Austria,1816453.57,0.92
Azerbaijan,19352.92,0.15
Burundi,48523.58,6.53
Belgium,6763999.81,1.46
Benin,34783.22,0.66
Bonaire,334.14,0.04
Burkina Faso,93280.32,2.48
Bangladesh,1431993.66,1.78
Bulgaria,2248785.34,4.95
Bahrain,2542504.65,14.1
"Bahamas, The",16583.81,0.19
Bosnia and Herzegovina,117645.53,0.62
Saint Barthélemy,67.51,0.07
Belarus,238373.44,0.51
Belize,18797.57,1.31
Bermuda,2232.22,0.09
Bolivia,8971.65,0.12
Brazil,1650041.72,0.64
Barbados,7985.71,0.39
Brunei,19749.2,0.33
Bhutan,15298.98,1.34
Bunkers,6991.31,0.02
Botswana,79790.89,1.09
Central African Republic,5956.67,1.46
Canada,4967533.41,0.94
Cocos (Keeling) Islands,101.3,0.84
Switzerland,2466991.1,0.49
Chile,805417.55,0.82
China,225155994.6,9.31
Cote d'Ivoire,413799.58,2.28
Cameroon,120914.12,1.22
"Congo, Rep.",17574.33,0.47
Cook Islands,862.1,0.42
Colombia,179150.03,0.27
Comoros,6845.3,1.52
Cape Verde,43014.9,2.91
Costa Rica,33379.35,0.18
Cuba,19936.85,0.36
Curaçao,1855.41,0.13
Christmas Island,179.31,0.5
Cayman Islands,7369.87,0.07
Cyprus,51073.43,0.33
Czech Republic,1137611.18,0.61
Germany,14397533.91,1.06
Djibouti,10419.77,0.12
Dominica,544.27,0.08
Denmark,240424.04,0.21
Dominican Republic,72626.57,0.28
Algeria,1234134.7,2.4
Ecuador,54652.02,0.22
"Egypt, Arab Rep.",2192029.39,1.8
Eritrea,2363.14,0.65
Spain,4981516.3,1.31
Estonia,73261.8,0.28
Ethiopia(excludes Eritrea),4866.87,0.05
Finland,3276438.99,4.02
Fiji,7420.83,0.35
Falkland Island,213.94,0.11
France,3647118.17,0.53
Free Zones,18805.73,0.67
Faeroe Islands,7820.53,0.33
"Micronesia, Fed. Sts.",1532.68,1.13
Gabon,22609.71,0.74
United Kingdom,7360673.08,0.73
Georgia,610615.99,4.91
Ghana,275802.51,1.15
Gibraltar,12067.38,0.08
Guinea,76878.68,1.22
"Gambia, The",57289.41,3.05
Guinea-Bissau,6696.28,1.13
Equatorial Guinea,10316.05,0.85
Greece,186374.69,0.26
Grenada,4804.06,1.33
Greenland,1473.02,0.08
Guatemala,51650.42,0.22
Guam,6434.81,0.73
Guyana,72796.64,2.21
"Hong Kong, China",933850.39,0.12
Honduras,30827.73,0.2
Croatia,136549.35,0.39
Haiti,120581.96,2.54
Hungary,378466.19,0.28
Indonesia,1890674.28,0.94
India,6286508.56,1.25
British Indian Ocean Ter.,2230.67,4.51
Ireland,261030.26,0.26
"Iran, Islamic Rep.",123312,0.33
Iraq,56265.42,0.1
Iceland,37514,0.35
Israel,492001.55,0.42
Italy,3330018.94,0.62
Jamaica,20307.7,0.38
Jordan,59030.57,0.23
Japan,31077442.86,4.41
Kazakhstan,1184294.69,2.17
Kenya,108943.84,0.44
Kyrgyz Republic,38430.09,0.28
Cambodia,134026.69,0.35
Kiribati,1979.26,1.15
St. Kitts and Nevis,2331.15,0.75
"Korea, Rep.",23075064.58,3.85
Kuwait,279232.7,0.67
Lao PDR,38453.65,0.54
Lebanon,66749.45,0.33
Liberia,28420.49,0.15
Libya,314538.16,1.27
St. Lucia,100594.48,2.77
Sri Lanka,234835.41,1.13
Lesotho,24794,1.54
Lithuania,306724.55,0.75
Luxembourg,214664.57,0.73
Latvia,121953.97,0.47
Macao,79592.21,0.5
Morocco,441474.36,0.54
Moldova,33182.26,0.3
Madagascar,89858.48,2.11
Maldives,31208.93,1.15
Mexico,3123104.87,0.61
Marshall Islands,2348.57,0.01
North Macedonia,66330.88,0.38
Mali,169429.81,2.77
Malta,48583.98,0.23
Myanmar,152735.37,0.64
Mongolia,5113.05,0.07
Northern Mariana Islands,885.69,1.33
Montenegro,122446.92,2.66
Mozambique,1880380.94,10.29
Mauritania,29033.77,0.63
Montserrat,127.33,0.66
Mauritius,78531.83,1.47
Malawi,26232.39,1.47
Malaysia,4459876.41,1.65
Namibia,502599.72,7.22
New Caledonia,39511.45,1.18
Niger,49929.51,2.29
Norfolk Island,4017.91,11.13
Nigeria,141049.38,0.2
Nicaragua,56853.6,0.76
Niue,110.09,0.29
Netherlands,7502074.2,1.07
Norway,1690831.1,1.09
Nepal,82455.78,0.61
Nauru,511.82,0.46
New Zealand,148830.03,0.3
"Other Asia, nes",6023351.71,1.6
Oman,1957442.96,5.94
Pakistan,139038.23,0.19
Panama,22408.46,0.05
Pitcairn,64.67,1.04
Peru,381716.3,0.75
Philippines,2824072.77,1.76
Palau,878.95,0.65
Papua New Guinea,26623.71,0.61
Poland,2299855.19,0.66
"Korea, Dem. Rep.",1670.83,0.58
Portugal,241653.78,0.26
Paraguay,69427.63,0.59
Occ.Pal.Terr,67117.68,3.62
French Polynesia,6342.13,0.25
Qatar,785951.84,1.99
Romania,723863.69,0.66
Russian Federation,3439236.4,0.93
Rwanda,49094.29,1.9
Saudi Arabia,2212556.18,1.27
Senegal,141894.2,0.78
"Serbia, FR(Serbia/Montenegro)",646720.69,1.15
Singapore,2251002.3,0.61
Saint Helena,1899.42,3.26
Solomon Islands,3221.55,0.66
Sierra Leone,39269.77,2.04
El Salvador,44481.35,0.35
San Marino,322.46,0.04
Somalia,23403.67,0.45
Special Categories,365702.1,0.43
Saint Pierre and Miquelon,521.38,0.42
South Sudan,6821.21,0.73
Sao Tome and Principe,4577.63,2.16
Sudan,32745.22,0.34
Suriname,14033.6,0.77
Slovak Republic,1094691.54,1.17
Slovenia,459444.48,0.83
Sweden,1485121.18,0.88
Eswatini,35634.41,1.94
Saint Maarten (Dutch part),544.7,0.08
Seychelles,10559.8,1.08
Syrian Arab Republic,81270.26,1.48
Turks and Caicos Isl.,5796.63,1.25
Chad,4113.67,0.31
Togo,73292.96,0.47
Thailand,711800.09,0.28
Tajikistan,18864.06,0.37
Tokelau,49.06,0.31
Turkmenistan,19491.23,0.37
East Timor,17569.16,2.1
Tonga,1597.08,0.68
Trinidad and Tobago,372855.51,5.91
Tunisia,161897.76,0.47
Turkey,2507757.08,0.76
Tuvalu,708.77,0.42
Tanzania,75058.06,0.41
Uganda,137052.38,2.1
Ukraine,679971.38,0.69
United States Minor Outlying I,43.91,0.07
Unspecified,9614745,1.37
Uruguay,61463.73,0.4
United States,10506158.46,0.32
Uzbekistan,301241.25,1.17
St. Vincent and the Grenadines,2901.24,0.51
Venezuela,13415.71,0.17
British Virgin Islands,7478.56,0.2
Vietnam,2817861.43,0.79
Vanuatu,2264.6,0.56
Wallis and Futura Isl.,601.02,0.78
Samoa,3544.04,0.83
Yemen,70050.78,0.52
South Africa,1356578.74,1.13
"Congo, Dem. Rep.",323338.82,2.92
Zambia,966129.43,12.27
Zimbabwe,73361.85,1.32
